시설 코드,시설 명,업종,주변 시설1,위도,경도
1,강릉시립미술관,일반,교동899,37.7611302,128.8878032
1,강릉아트센터,일반,명가찜,37.770134,128.8923318
1,강릉단오제전수교육관,일반,다온칼국수,37.7477007,128.8920319
1,강릉 해운정,일반,400년집 초당순두부,37.7857865,128.8867784
1,강릉향교,일반,해미루,37.7619809,128.8916355
1,강문해변,일반,강문떡갈비,37.7951003,128.9134326
1,경포가시연습지,일반,경호슈퍼민박,37.793201,128.8920498
1,경포생태저류지,일반,복마니찐빵집,37.7806493,128.8775263
1,경포해변,일반,경포동해횟집,37.8038756,128.9045322
1,경포호,일반,경기도횟집,37.8034743,128.9004169
1,대추무파인아트,일반,둥지식당,37.7478913,128.8762727
1,명주군왕릉,일반,왕릉식당,37.7586336,128.7906419
1,보현사,일반,보광미니수퍼,37.737974,128.8025258
1,사근진해변,일반,공주펜션,37.8126738,128.8947319
1,사천진해수욕장,일반,돌고래횟집,37.8028343,128.8718279
1,사천해변,일반,미소펜션,37.8326989,128.8717072
1,소금강계곡,일반,노루목,37.8151222,128.7021733
1,소돌해변,일반,아이리스펜션,37.9065957,128.8211492
1,깅릉단오공원,일반,강남칼국수,37.7477556,128.8918976
1,순긋해변,일반,곰앤패들보드,37.814943,128.8911474
1,숲사랑홍보관,일반,바우하우스,37.818067,128.8457278
1,아들바위공원,일반,영백이네,37.904903,128.8256311
1,한화리조트설악워터피아,일반,김영애할머니순두부 본점,38.206068,128.5237658
1,아르떼뮤지엄,일반,뚱할머니순두부,37.7870542,128.9037518
1,애니멀스토리,일반,옛카나리아,37.7150938,128.8250045
1,영진해변,일반,그랜드펜션,37.8697943,128.588548
1,임경당,일반,홍천화로구이,37.7479074,128.8767311
1,주문진해수욕장,일반,강릉수제버거,37.9112904,128.8137106
1,문암공원,일반,본가식당,37.7487458,128.9021653
1,커피커퍼박물관,일반,J9스파펜션,37.7943652,128.9108492
1,하평해변,일반,카페사천,37.8423293,128.8698804
1,향호해변,일반,산과바다 베니키아호텔,37.9089246,128.8158442
1,허균시비,일반,강릉 더시월 독채펜션,37.8402241,128.8684525
1,현덕사,일반,연곡꾹저구탕,37.8586406,128.8319593
1,호린파크,일반,보헤미안박이추커피,37.8468503,128.8628918
1,활래정,일반,강릉본가막국수,37.7838616,128.8783079
1,국립산악박물관,일반,미가,38.2017021,128.5307774
1,다이나믹메이즈 속초,일반,김삿갓회막국수,38.2065133,128.5154617
1,동광호바다배낚시체험,해양레저,스끼다시짱횟집,38.2253903,128.5842014
1,등대해수욕장,일반,영금정생선조림,38.2176187,128.5900474
1,석봉도자기미술관,일반,한우랑돈이랑,38.1862521,128.5777266
1,설악산자생식물원,일반,갈산한식당,38.1973383,128.5211869
1,속초등대,일반,왕건횟집,38.213003,128.5967268
1,속초시립박물관,일반,궁중해장국,38.1995434,128.5308252
1,속초윤창호바다배낚시체험,해양레저,영수가키운흑돼지집,38.19945,128.5707358
1,속초파워보트클럽,일반,독도활어횟집,38.2265363,128.5833925
1,씨프린스,해양레저,차이칸 ,38.197669,128.5773587
1,얼라이브하트,일반,진솔할머니순두부 ,38.2062411,128.5167856
1,에브리데이다이브,일반,장사횟집 ,38.2250924,128.5842871
1,영금정,일반,소라네튀김 ,38.21122,128.5974034
1,구룡폭포,일반,연곡반점,37.8593497,128.8321889
1,영랑호,일반,전라도식당,38.2157297,128.58347
1,영랑호습지생태공원 ,일반,카페모두,38.2069401,128.5652025
1,원산호배낚시,해양레저,리얼깽크랩,38.2258998,128.5838742
